[1, 2, 3], 1, 19.04366183280945, 336.06981977456326
[1, 2, 3], 2, 16.99245548248291, 376.63773823610114
[1, 2, 3], 4, 16.940324306488037, 377.79678146709625
[1, 2, 3], 8, 18.693325757980347, 342.3681843915753
[1, 1, 2, 3], 1, 19.840139865875244, 322.57837108335656
[1, 1, 2, 3], 2, 17.135645151138306, 373.4904605896822
[1, 1, 2, 3], 4, 16.653959274291992, 384.29300171758
[1, 1, 2, 3], 8, 18.10856795310974, 353.42386082500485
[1, 1, 2, 2, 3], 1, 20.073055028915405, 318.8353736280176
[1, 1, 2, 2, 3], 2, 15.492692232131958, 413.0979886585724
[1, 1, 2, 2, 3], 4, 14.541754722595215, 440.11194811693366
[1, 1, 2, 2, 3], 8, 16.38744592666626, 390.54285998196235
